953.txt	1073
775.txt	576
856.txt	858
1407.txt	1257
678.txt	749
791.txt	1863
25.txt	57
1583.txt	360
597.txt	695
872.txt	315
694.txt	966
1761.txt	127
1261.txt	6666
1486.txt	503
1164.txt	402
1342.txt	114
1245.txt	696
1067.txt	741
1680.txt	3385
1326.txt	177
1423.txt	544
1601.txt	102
1148.txt	2200
1520.txt	577
1504.txt	403
937.txt	1660
1229.txt	10404
88.txt	3883
759.txt	125
1993.txt	1541
178.txt	2211
1013.txt	534
1004.txt	789
1799.txt	123
291.txt	963
284.txt	1691
453.txt	1232
1907.txt	801
1986.txt	205
205.txt	1813
372.txt	299
124.txt	846
2.txt	913
1745.txt	3646
1083.txt	1021
1389.txt	269
1664.txt	594
79.txt	4134
615.txt	540
1826.txt	14
1254.txt	2058
1493.txt	1836
259.txt	4509
534.txt	29
1416.txt	75
1319.txt	1575
881.txt	4158
1396.txt	913
847.txt	88
784.txt	1373
1671.txt	552
588.txt	199
1173.txt	4646
685.txt	789
960.txt	196
1930.txt	49
34.txt	522
1270.txt	441
1655.txt	735
863.txt	934
230.txt	510
349.txt	4607
1558.txt	3052
1833.txt	158
721.txt	1204
1576.txt	96
624.txt	518
1074.txt	10940
133.txt	2078
462.txt	1814
1754.txt	741
1479.txt	79
1851.txt	474
446.txt	709
703.txt	1308
212.txt	12301
800.txt	2967
1090.txt	1623
1817.txt	450
428.txt	1140
1110.txt	423
194.txt	50
356.txt	703
1887.txt	5095
187.txt	588
1020.txt	224
1738.txt	1577
390.txt	695
117.txt	1813
266.txt	424
95.txt	3806
541.txt	463
1103.txt	530
1977.txt	1079
1592.txt	56
18.txt	4726
1236.txt	1907
608.txt	2477
552.txt	358
140.txt	1694
302.txt	3336
1511.txt	1633
1727.txt	739
518.txt	3040
1898.txt	499
1180.txt	2218
106.txt	112
768.txt	744
631.txt	4863
1432.txt	332
41.txt	115
1648.txt	2232
277.txt	2604
1157.txt	870
1923.txt	567
1344.txt	83
1166.txt	625
1581.txt	1634
1387.txt	1726
1468.txt	307
0.txt	394
122.txt	3490
1522.txt	124
1085.txt	11016
1565.txt	152
838.txt	392
1603.txt	105
617.txt	2402
1824.txt	1719
439.txt	188
1425.txt	2807
536.txt	48
1646.txt	307
86.txt	414
43.txt	418
858.txt	327
1502.txt	386
793.txt	914
971.txt	3107
919.txt	1059
874.txt	971
1747.txt	357
401.txt	1576
444.txt	116
207.txt	647
338.txt	2146
509.txt	4248
1243.txt	154
257.txt	176
1200.txt	733
320.txt	3193
1252.txt	2023
363.txt	95
1324.txt	99
214.txt	41
773.txt	438
1139.txt	3473
1995.txt	71
1058.txt	47
1015.txt	7429
579.txt	546
1002.txt	567
1905.txt	171
730.txt	2160
293.txt	135
989.txt	385
946.txt	311
1860.txt	17
23.txt	354
1666.txt	480
692.txt	395
865.txt	1451
1831.txt	469
1610.txt	653
1653.txt	6900
901.txt	2440
944.txt	723
16.txt	542
687.txt	624
1238.txt	1986
1531.txt	861
1394.txt	651
1574.txt	434
1159.txt	499
723.txt	239
766.txt	2430
1718.txt	2805
1092.txt	220
1752.txt	1283
802.txt	1791
192.txt	1011
845.txt	437
1495.txt	1957
286.txt	1372
1639.txt	535
115.txt	834
464.txt	552
1418.txt	31
1673.txt	81
1975.txt	1225
365.txt	2857
1171.txt	970
1932.txt	465
93.txt	221
50.txt	1040
1594.txt	150
586.txt	190
370.txt	221
543.txt	556
622.txt	2155
1968.txt	1100
1250.txt	142
550.txt	1823
516.txt	1945
1853.txt	1248
1065.txt	59
1896.txt	345
1022.txt	3769
701.txt	2366
185.txt	511
1889.txt	1380
142.txt	4205
1819.txt	153
1430.txt	1628
1925.txt	6999
108.txt	326
221.txt	457
1567.txt	601
264.txt	84
358.txt	1942
939.txt	578
951.txt	2569
1351.txt	901
437.txt	216
300.txt	769
471.txt	2336
392.txt	577
1317.txt	8855
